Amplitude, 30
20.0
24.0
22.0
26.0
16.0
28.4
Amplitude, 80
41.0
37.0
36.8
37.2
38.4
Amplitude, 130
57.2
61.6
58.4
59.2
60.0
54.4
63.0
60.0
64.0
Amplitude, 180
80.0
84.0
79.0
80.8
79.2
79.2
89.4
89.8
Amplitude, 230
102.0
106.0
109.0
105.0
100.0
Amplitude, 280
126.0
124.0
124.0
126.0
130.0
124.0
126.0
128.0
124.0
130.0
126.0
Amplitude, 330
148.0
150.0
148.0
150.0
148.0
150.0
154.0
148.0
150.0
Amplitude, 380
172.0
170.0
170.0
172.0
174.0
172.0
170.0
Amplitude, 430
194.0
192.0
196.0
200.0
192.0
194.0
194.0
192.0
Amplitude, 480 
214.0
216.0
212.0
212.0
214.0
212.0
214.0
212.0
212.0
